Albedo_01,Albedo_02,Albedo_03,Albedo_04,Chlorophyll
0.1064,0.0755,0.0288,0.0106999995,0.84173846
0.1165,0.0814,0.0337,0.0143,0.2249632
0.1236,0.087299995,0.0403,0.0208,0.30852604
0.1135,0.076699995,0.030299999,0.0149,0.1279457
0.1087,0.0689,0.026099999,0.0095,0.07252406
0.1105,0.0725,0.026899999,0.0089,0.10720106
0.1278,0.092099994,0.0403,0.0208,0.37680668
0.111099996,0.0761,0.0312,0.0131,0.15441073
0.1117,0.0725,0.0296,0.0089,0.11579661
0.1188,0.0826,0.0345,0.017199999,0.25545183
0.1343,0.0963,0.0541,0.042799998,0.06641905
0.1117,0.0761,0.031,0.0137,0.21442348
0.12719999,0.085,0.0391,0.029099999,0.09059955
0.1087,0.0743,0.03,0.011299999,0.20359984
0.12539999,0.0897,0.038799997,0.019,0.34846812
0.1087,0.0713,0.025999999,0.0095,0.11922736
0.1129,0.0743,0.0297,0.0131,0.09872117
0.12539999,0.0903,0.0394,0.019,0.4538922
0.111099996,0.073699996,0.0288,0.012499999,0.07525836
0.1206,0.0879,0.0391,0.0208,0.5353307
0.114099994,0.0749,0.0288,0.0106999995,0.08458886
0.1064,0.071899995,0.030199999,0.0131,0.042097878
0.1497,0.117699996,0.0698,0.0547,0.5882537
0.114099994,0.0749,0.03,0.0149,0.088003814
0.1188,0.0796,0.0315,0.0131,0.113604
0.1295,0.0903,0.044099998,0.0232,0.26242626
0.1408,0.0998,0.048299998,0.038,0.10134767
0.14019999,0.095699996,0.0567,0.023799999,0.21040392
0.111099996,0.073699996,0.026999999,0.0089,0.13685995
0.1129,0.0778,0.0309,0.0143,0.35526013
0.1117,0.073699996,0.028099999,0.011899999,0.086977124
0.139,0.089099996,0.048699997,0.0279,0.090405926
0.1248,0.0885,0.0401,0.0232,0.27220124
0.1325,0.0933,0.048,0.0392,0.10080807
0.1165,0.085,0.037299998,0.0202,0.3201197
0.1117,0.0743,0.0288,0.0131,0.09139601
0.1557,0.1236,0.070599996,0.0683,0.24048498
0.1165,0.0826,0.0358,0.017199999,0.2726011
0.1081,0.0707,0.0287,0.011899999,0.08908455
0.1182,0.0802,0.0374,0.0232,0.072707534
0.1147,0.0749,0.0308,0.015999999,0.024699295
0.115899995,0.0778,0.0296,0.0106999995,0.118862465
0.121199995,0.085599996,0.0349,0.0178,0.57687706
0.1325,0.095699996,0.0495,0.033299997,0.09478347
0.1153,0.0814,0.0348,0.017199999,0.286629
0.115899995,0.0808,0.0339,0.0137,0.3291455
0.12239999,0.0885,0.0385,0.0202,0.5607793
0.1313,0.0986,0.052699998,0.0469,0.09541214
0.13669999,0.100999996,0.066,0.046299998,0.07485081
0.13069999,0.0927,0.0444,0.026099999,0.3319344
0.107,0.0713,0.025999999,0.0083,0.20870042
0.1099,0.0778,0.032199997,0.0137,0.6512406
0.121199995,0.0862,0.0354,0.017199999,0.46178123
0.1301,0.0885,0.04,0.023799999,0.11775782
0.1153,0.076699995,0.030599998,0.0137,0.082905106
0.119399995,0.0808,0.0379,0.0137,0.1341481
0.1087,0.071899995,0.025799999,0.0089,0.12969783
0.115899995,0.0784,0.0324,0.0143,0.09087882
0.12239999,0.087299995,0.0392,0.0208,0.34521875
0.1343,0.0963,0.052699998,0.044,0.10734826
0.19909999,0.1563,0.108399995,0.0969,0.4314725
0.19669999,0.1486,0.1205,0.107599996,0.12780108
0.115899995,0.089099996,0.0365,0.0327,0.09896541
0.1135,0.077199996,0.035099998,0.0071,0.16788472
0.17109999,0.1301,0.0866,0.06,0.13919361
0.105799995,0.071899995,0.0278,0.0106999995,0.2074558
0.1426,0.1028,0.049799997,0.0469,0.109111056
0.17109999,0.1373,0.092099994,0.0725,0.3359793
0.1087,0.0731,0.0288,0.0106999995,0.1886549
0.1432,0.1105,0.0565,0.0297,1.3376123
0.119399995,0.0808,0.033299997,0.0143,0.08160425
0.1266,0.086799994,0.0423,0.0273,0.102712
0.1171,0.0844,0.039699998,0.021399999,0.40119845
0.1135,0.0778,0.030199999,0.0137,0.08952186
0.1087,0.071899995,0.0264,0.0089,0.13899629
0.1087,0.0707,0.0253,0.0083,0.14082138
0.1218,0.086799994,0.0346,0.0154,0.54422873
0.1266,0.0885,0.038799997,0.0178,0.17206948
0.1503,0.1129,0.0673,0.0458,0.24084249
0.109299995,0.0707,0.026099999,0.0095,0.14189121
0.20619999,0.1735,0.1321,0.1343,0.9069597
0.105799995,0.0713,0.0253,0.0089,0.1674988
0.1147,0.0796,0.0354,0.0154,0.4316708
0.1052,0.070099995,0.0264,0.0106999995,0.1859997
0.12889999,0.0927,0.0455,0.0279,0.61992884
0.1099,0.0731,0.0279,0.011299999,0.117728055
0.107599996,0.0725,0.0287,0.0131,0.26957497
0.111099996,0.0743,0.0273,0.011299999,0.15265273
0.1064,0.0689,0.025799999,0.0101,0.08596285
0.122999996,0.0885,0.0383,0.017199999,0.4603259
0.1153,0.078999996,0.0313,0.0143,0.09296636
0.1117,0.0755,0.0299,0.012499999,0.09992457
0.1081,0.0707,0.0267,0.0077,0.117208324
0.12,0.0844,0.0352,0.0166,0.3281002
0.1052,0.0695,0.0256,0.0083,0.1201215
0.114099994,0.0808,0.0376,0.0178,0.42367256
0.1117,0.0749,0.030499998,0.0149,0.14374427
0.109299995,0.0743,0.0297,0.011899999,0.22432116
0.1206,0.0862,0.0352,0.0154,0.53042495
0.1171,0.0826,0.0345,0.017199999,0.28302306
0.105799995,0.067099996,0.024799999,0.011299999,0.05466394
0.1099,0.0731,0.029399998,0.011899999,0.10182428
0.1135,0.0814,0.0376,0.0184,0.37370354
0.1052,0.070099995,0.025999999,0.0101,0.18883823
0.119399995,0.083799995,0.035099998,0.019,0.25002328
0.1325,0.1028,0.048899997,0.024999999,1.3889623
0.1236,0.0903,0.043199997,0.0267,0.23632409
0.1955,0.17109999,0.1248,0.1206,0.3442807
0.1396,0.1016,0.0447,0.022599999,0.6160268
0.19909999,0.18239999,0.1178,0.1396,0.26313522
0.105799995,0.0689,0.0253,0.0089,0.12130667
0.1087,0.0689,0.0257,0.0137,0.08598203
0.105799995,0.070099995,0.0251,0.0095,0.1760416
0.1046,0.070099995,0.025999999,0.0083,0.21247764
0.1147,0.0778,0.0319,0.0143,0.12089334
0.1284,0.0915,0.0404,0.0184,0.43533668
0.1171,0.078999996,0.0327,0.0149,0.07586063
0.111099996,0.0749,0.030199999,0.011299999,0.20466408
0.1295,0.095699996,0.0425,0.0244,0.2250615
0.111099996,0.0731,0.026899999,0.0101,0.09524036
0.121199995,0.0897,0.042,0.0256,0.4168217
0.1099,0.071899995,0.0284,0.0106999995,0.08359885
0.1182,0.0802,0.0336,0.0166,0.11808959
0.1182,0.085599996,0.037,0.019,0.47650075
0.1218,0.085,0.0401,0.0279,0.14607963
0.13069999,0.0927,0.044299997,0.0232,0.3115935
0.115899995,0.0778,0.033,0.0166,0.124131225
0.119399995,0.085599996,0.0345,0.0143,0.5183895
0.1182,0.085599996,0.0411,0.0184,0.6192612
0.115899995,0.077199996,0.0315,0.0143,0.09948695
0.1295,0.0903,0.0422,0.022599999,0.16097134
0.1081,0.0731,0.029399998,0.011299999,0.23204032
0.1064,0.0683,0.024699999,0.0089,0.08166029
0.1171,0.0844,0.036399998,0.0137,1.1180778
0.12719999,0.0903,0.0401,0.021399999,0.31600007
0.1064,0.073699996,0.0296,0.012499999,0.26821274
0.1064,0.0677,0.024699999,0.0089,0.10074928
0.121199995,0.085599996,0.037299998,0.015999999,0.30662078
0.1105,0.0713,0.026999999,0.0106999995,0.07378
0.122999996,0.0915,0.042,0.0196,1.1113905
0.1153,0.083799995,0.039699998,0.0202,1.5103483
0.1218,0.0879,0.0368,0.015999999,0.49398428
0.1218,0.0879,0.0376,0.0184,0.33085287
0.107,0.070099995,0.0264,0.0083,0.14192632
0.12889999,0.0909,0.040599998,0.022599999,0.24938704
0.1064,0.0689,0.0256,0.0083,0.070911564
0.1206,0.0826,0.0352,0.019,0.069596134
0.115899995,0.0796,0.033299997,0.0166,0.12854403
0.1087,0.0713,0.0257,0.012499999,0.10128518
0.107599996,0.071899995,0.0279,0.011899999,0.13049352
0.1105,0.0713,0.026999999,0.0106999995,0.10150188
0.126,0.0951,0.040599998,0.017199999,2.7901044
0.1278,0.0897,0.0367,0.0196,0.23559253
0.1105,0.0761,0.03,0.0143,0.18600719
0.1218,0.085,0.039499998,0.0279,0.12606174
0.117699996,0.0784,0.0309,0.0184,0.11743376
0.1105,0.0755,0.03,0.011899999,0.18347731
0.1129,0.0755,0.029099999,0.0137,0.14294423
0.13069999,0.0933,0.038799997,0.0178,0.41432002
0.124199994,0.0915,0.045199998,0.0285,0.392655
0.1355,0.095699996,0.046099998,0.0279,0.18964131
0.119399995,0.085599996,0.039699998,0.0131,0.2843091
0.14739999,0.1081,0.0735,0.055299997,0.104703434
0.1319,0.103999995,0.0526,0.0297,2.5323184
0.2068,0.17889999,0.1466,0.1515,0.3211059
0.1182,0.0802,0.033,0.0137,0.09950725
0.109299995,0.0731,0.026099999,0.0089,0.13448805
0.126,0.0897,0.0391,0.0178,0.36480767
0.12,0.0862,0.038,0.0166,0.46254456
0.13669999,0.1105,0.061899997,0.0196,2.9604359
0.1373,0.098,0.0468,0.0315,0.11540169
0.124199994,0.0874,0.0376,0.0184,0.27150536
0.12889999,0.089099996,0.040999997,0.021399999,0.15531291
0.1188,0.0832,0.0358,0.0154,0.3380306
0.1117,0.0731,0.0296,0.011899999,0.08591086
0.115899995,0.0778,0.032199997,0.015999999,0.095137514
0.115899995,0.078999996,0.0345,0.019,0.098867305
0.119399995,0.0808,0.033099998,0.0154,0.08896975
0.115899995,0.0844,0.0392,0.0202,0.6308848
0.1099,0.0713,0.026899999,0.011299999,0.08271564
0.1266,0.0879,0.0394,0.0202,0.14639272
0.1147,0.081999995,0.0352,0.015999999,0.44009784
0.12,0.085599996,0.038599998,0.0244,0.22119778
0.1182,0.0844,0.0401,0.0196,0.26513463
0.1165,0.0731,0.0312,0.011899999,0.076121025
0.1182,0.083799995,0.036399998,0.017199999,0.27725834
0.2514,0.2175,0.1707,0.2312,0.19172731
0.1147,0.0743,0.0319,0.0131,0.080982596
0.12239999,0.0885,0.0401,0.022,0.56797475
0.1171,0.0808,0.036399998,0.023799999,0.116097234
0.1301,0.0909,0.051799998,0.0357,0.09911082
0.1129,0.077199996,0.0315,0.0131,0.18310215
0.12539999,0.0933,0.044999998,0.024999999,0.866624
0.115899995,0.0814,0.031799998,0.0154,0.3351039
0.1099,0.071899995,0.0263,0.0083,0.11435744
0.1165,0.0784,0.033,0.017199999,0.37416086
0.12239999,0.0915,0.045199998,0.022599999,1.1046917
