GOCI2_Latitude,GOCI2_Longitude,Himawari_Latitude,Himawari_Longitude,Chlorophyll,Albedo_01,Albedo_02,Albedo_03,Albedo_04
35.03513,140.1604,35.04,140.16,0.84173846,0.1064,0.0755,0.0288,0.0106999995
32.44844,132.37926,32.45,132.38,0.2249632,0.1165,0.0814,0.0337,0.0143
29.89085,124.81912,29.890001,124.82,0.30852604,0.1236,0.087299995,0.0403,0.0208
29.031984,128.00151,29.03,128.0,0.1279457,0.1135,0.076699995,0.030299999,0.0149
25.316397,132.80618,25.32,132.81,0.07252406,0.1087,0.0689,0.026099999,0.0095
33.59369,138.4686,33.59,138.47,0.10720106,0.1105,0.0725,0.026899999,0.0089
39.19732,143.2541,39.2,143.25,0.37680668,0.1278,0.092099994,0.0403,0.0208
27.252768,126.13978,27.25,126.14,0.15441073,0.111099996,0.0761,0.0312,0.0131
30.840994,142.04193,30.84,142.04,0.11579661,0.1117,0.0725,0.0296,0.0089
32.96676,134.62898,32.97,134.63,0.25545183,0.1188,0.0826,0.0345,0.017199999
29.545975,138.41989,29.550001,138.42,0.06641905,0.1343,0.0963,0.0541,0.042799998
29.236355,127.605804,29.24,127.61,0.21442348,0.1117,0.0761,0.031,0.0137
27.503365,129.09868,27.5,129.1,0.09059955,0.12719999,0.085,0.0391,0.029099999
32.549442,136.3285,32.550003,136.33,0.20359984,0.1087,0.0743,0.03,0.011299999
37.66414,141.72424,37.66,141.72,0.34846812,0.12539999,0.0897,0.038799997,0.019
34.21309,142.96638,34.21,142.97,0.11922736,0.1087,0.0713,0.025999999,0.0095
30.011227,138.8022,30.01,138.8,0.09872117,0.1129,0.0743,0.0297,0.0131
39.41148,142.30861,39.41,142.31,0.4538922,0.12539999,0.0903,0.0394,0.019
26.002417,139.3123,26.0,139.31,0.07525836,0.111099996,0.073699996,0.0288,0.012499999
33.302784,126.930695,33.300003,126.93,0.5353307,0.1206,0.0879,0.0391,0.0208
28.142818,134.4844,28.140001,134.48,0.08458886,0.114099994,0.0749,0.0288,0.0106999995
25.477697,133.07059,25.480001,133.07,0.042097878,0.1064,0.071899995,0.030199999,0.0131
40.81237,134.20064,40.81,134.2,0.5882537,0.1497,0.117699996,0.0698,0.0547
25.90119,135.27684,25.9,135.28,0.088003814,0.114099994,0.0749,0.03,0.0149
30.607533,134.91092,30.61,134.91,0.113604,0.1188,0.0796,0.0315,0.0131
38.894737,137.28615,38.89,137.29,0.26242626,0.1295,0.0903,0.044099998,0.0232
28.689114,134.32109,28.69,134.32,0.10134767,0.1408,0.0998,0.048299998,0.038
32.519703,128.03969,32.52,128.04,0.21040392,0.14019999,0.095699996,0.0567,0.023799999
33.6361,137.88301,33.64,137.88,0.13685995,0.111099996,0.073699996,0.026999999,0.0089
37.07762,141.35352,37.08,141.35,0.35526013,0.1129,0.0778,0.0309,0.0143
28.598366,133.28192,28.6,133.28,0.086977124,0.1117,0.073699996,0.028099999,0.011899999
29.159613,134.98314,29.16,134.98,0.090405926,0.139,0.089099996,0.048699997,0.0279
28.908165,123.64177,28.91,123.64,0.27220124,0.1248,0.0885,0.0401,0.0232
30.430822,139.4259,30.43,139.43,0.10080807,0.1325,0.0933,0.048,0.0392
32.07896,130.03036,32.08,130.03,0.3201197,0.1165,0.085,0.037299998,0.0202
24.047503,129.99217,24.050001,129.99,0.09139601,0.1117,0.0743,0.0288,0.0131
29.963854,126.9578,29.960001,126.96,0.24048498,0.1557,0.1236,0.070599996,0.0683
28.51867,123.35384,28.52,123.35,0.2726011,0.1165,0.0826,0.0358,0.017199999
27.717049,136.49991,27.720001,136.5,0.08908455,0.1081,0.0707,0.0287,0.011899999
26.142773,131.95718,26.140001,131.96,0.072707534,0.1182,0.0802,0.0374,0.0232
24.640533,136.36174,24.640001,136.36,0.024699295,0.1147,0.0749,0.0308,0.015999999
37.007153,142.43657,37.010002,142.44,0.118862465,0.115899995,0.0778,0.0296,0.0106999995
42.95782,134.44208,42.96,134.44,0.57687706,0.121199995,0.085599996,0.0349,0.0178
28.78382,135.29144,28.78,135.29,0.09478347,0.1325,0.095699996,0.0495,0.033299997
29.611467,125.90358,29.61,125.9,0.286629,0.1153,0.0814,0.0348,0.017199999
35.65725,135.43826,35.66,135.44,0.3291455,0.115899995,0.0808,0.0339,0.0137
38.539497,129.69983,38.54,129.7,0.5607793,0.12239999,0.0885,0.0385,0.0202
26.670801,142.84543,26.67,142.85,0.09541214,0.1313,0.0986,0.052699998,0.0469
25.13083,135.15541,25.130001,135.16,0.07485081,0.13669999,0.100999996,0.066,0.046299998
38.719,133.2536,38.72,133.25,0.3319344,0.13069999,0.0927,0.0444,0.026099999
33.052757,137.29916,33.050003,137.3,0.20870042,0.107,0.0713,0.025999999,0.0083
34.1823,124.27891,34.18,124.28,0.6512406,0.1099,0.0778,0.032199997,0.0137
43.514713,135.30379,43.510002,135.3,0.46178123,0.121199995,0.0862,0.0354,0.017199999
30.140385,134.2212,30.140001,134.22,0.11775782,0.1301,0.0885,0.04,0.023799999
28.597378,135.0467,28.6,135.05,0.082905106,0.1153,0.076699995,0.030599998,0.0137
34.69436,142.1619,34.690002,142.16,0.1341481,0.119399995,0.0808,0.0379,0.0137
33.348595,140.01804,33.35,140.02,0.12969783,0.1087,0.071899995,0.025799999,0.0089
26.005554,127.979675,26.01,127.98,0.09087882,0.115899995,0.0784,0.0324,0.0143
29.302988,124.29152,29.300001,124.29,0.34521875,0.12239999,0.087299995,0.0392,0.0208
28.252052,128.2795,28.25,128.28,0.10734826,0.1343,0.0963,0.052699998,0.044
44.713696,137.27492,44.71,137.27,0.4314725,0.19909999,0.1563,0.108399995,0.0969
